gene_symbol,pathogenic,likely_pathogenic,uncertain_significance,likely_benign,benign,association,not_provided,other_or_unclassified
GNPAT,7,5,1,0,0,0,0,73
POR,26,6,3,4,0,0,0,129
HAMP,0,1,0,0,0,0,0,6
ARL6IP1,3,1,0,0,0,0,0,45
GALK1,17,7,0,0,0,0,0,55
GALM,5,0,2,0,0,0,0,68
BCAT2,2,0,1,0,1,0,0,86
SCN4A,10,4,8,4,0,0,0,170
RCBTB1,13,2,1,2,0,0,0,85
CLXN,0,0,0,0,0,0,0,0
ZMPSTE24,21,0,1,0,0,0,4,70
ERLIN2,4,3,0,0,0,0,0,45
MYO5A,4,0,1,0,0,0,0,154
PNKP,50,22,4,0,0,0,1,209
APOL1,0,0,2,0,0,0,0,25
FBXL4,22,9,4,0,0,0,0,59
ANO10,33,7,4,1,0,0,0,112
TK2,10,3,1,0,0,0,0,53
LTBP2,16,9,3,3,0,0,0,239
GALE,11,9,2,0,0,0,0,58
DDX11,11,18,5,0,0,0,1,213
KIFBP,3,5,1,0,0,0,0,83
HEXB,41,11,0,0,0,0,0,88
PCARE,67,8,4,0,0,0,0,191
USH2A,370,57,7,3,0,0,0,495
ALG1,23,17,0,0,0,0,0,85
ASL,24,6,0,0,0,0,0,63
CHAT,17,6,8,2,0,0,0,104
B9D1,1,1,1,0,0,0,0,31
TIMM50,0,1,5,0,0,0,0,68
HOGA1,19,18,0,0,0,0,0,30
DOCK2,3,5,1,1,0,0,0,138
VLDLR,10,10,0,1,0,0,0,123
AIMP2,4,1,0,0,0,0,0,45
USH1G,18,4,2,0,0,0,0,64
DHTKD1,20,13,4,0,0,0,0,156
TMEM126B,6,2,1,1,0,0,0,101
COA8,4,5,1,0,0,0,0,57
PHKG2,11,1,2,0,0,0,0,32
AGPAT2,8,2,1,0,0,0,2,35
FASLG,1,0,1,1,0,0,0,14
FANCC,57,17,0,0,0,0,0,53
CDC14A,8,1,2,0,0,0,0,98
GRIP1,5,3,0,0,0,0,0,91
TULP3,3,0,0,0,0,0,0,98
KYNU,5,6,0,0,0,0,0,113
NFU1,0,2,1,0,0,0,0,62
EIF2AK4,33,5,2,0,0,0,0,277
TMPRSS3,27,5,1,2,0,0,0,67
BBS4,33,17,5,1,0,0,0,76
STIL,2,1,2,0,0,0,0,101
PLG,2,3,0,0,0,0,0,88
IFT122,13,18,4,0,0,0,0,231
EIF2B3,1,3,0,0,0,0,0,38
MOCS2,13,4,0,0,0,0,0,24
GYS1,16,7,4,0,0,0,0,128
HADHB,17,13,1,0,0,0,0,75
CDHR1,34,8,0,1,0,0,0,94
DGKE,10,4,0,0,0,0,0,106
RFC1,2,1,0,1,0,0,0,88
ARL2BP,8,1,1,0,0,0,0,36
AP3B1,7,9,5,1,0,0,0,111
SLC26A2,46,9,0,0,0,0,0,59
ARL6,5,2,2,0,0,0,0,23
SLC22A5,39,8,1,0,0,0,0,49
PCCA,56,18,6,0,1,0,0,119
SLC4A10,1,0,0,0,0,0,0,94
DNAJB2,4,4,0,1,0,0,0,36
HYCC1,0,0,0,0,0,0,0,0
CLN5,31,7,1,1,0,0,0,60
UNC80,37,11,5,2,0,0,0,281
COX10,0,6,0,0,0,0,0,52
SLC25A46,6,6,5,0,0,0,0,69
DDB2,4,1,0,0,0,0,1,63
COL18A1,65,21,5,0,1,0,0,345
CIB2,8,1,1,1,0,0,0,33
NNT,4,0,0,0,1,0,0,129
MICU1,15,7,1,0,0,0,0,69
RBM8A,2,0,0,0,0,0,0,10
GALNS,53,14,1,0,0,0,0,72
CEP164,30,32,1,0,1,0,0,311
ARPC1B,6,0,1,0,0,0,0,70
KCNV2,39,4,5,2,0,0,0,104
SPEF2,4,3,1,0,0,0,0,380
HPS1,44,8,2,1,0,0,0,80
MYO3A,22,18,11,0,0,0,0,331
FCHO1,3,3,1,0,1,0,0,103
DNAH17,3,7,3,1,4,0,0,947
FOXRED1,14,9,2,1,0,0,0,89
SLC38A8,23,16,0,1,0,0,0,89
MME,33,13,1,1,0,0,0,137
AMT,20,5,2,0,0,0,0,46
AHI1,81,25,5,0,0,0,0,193
AP4B1,24,3,0,0,0,0,0,105
