gene_symbol,pathogenic,likely_pathogenic,uncertain_significance,likely_benign,benign,association,not_provided,other_or_unclassified
EYS,212,37,3,3,0,0,0,313
SLC11A2,0,0,1,0,0,0,0,79
NRAP,1,4,1,2,1,0,0,390
ILDR1,12,2,4,0,0,0,0,123
ARMC2,3,0,0,0,0,0,0,160
DNAI2,27,9,1,0,0,0,0,91
NAGS,15,8,1,0,0,0,0,61
DYNC2I2,14,2,1,0,1,0,0,146
ANGPTL3,6,1,1,2,0,0,0,115
PYCR1,9,4,0,0,0,0,0,34
FIG4,43,18,6,2,0,0,0,188
RSPH1,10,2,1,0,0,0,0,78
PLD1,7,5,1,0,0,0,0,242
CISD2,1,0,0,0,0,0,0,7
IL10RB,3,3,1,1,0,0,0,53
LAMA2,180,63,4,4,0,0,0,313
MUTYH,63,18,3,0,0,0,0,49
RIN2,4,0,8,0,0,0,0,149
L2HGDH,7,2,3,0,0,0,0,79
ALG12,9,7,3,0,0,0,0,69
RNASEH2A,7,6,1,0,0,0,0,40
GORAB,16,0,0,0,0,0,0,25
OTOA,27,8,1,0,0,0,0,143
CLDN16,3,2,1,1,0,0,0,27
POMT2,34,14,2,1,0,0,0,109
RAG1,31,5,1,0,0,0,0,86
NDUFS6,6,5,1,0,0,0,0,25
BRIP1,117,26,3,1,0,0,0,63
UBE3B,21,4,1,1,0,0,0,141
RNASEH2C,1,2,5,0,0,0,0,42
MTO1,18,4,2,0,0,0,0,105
NDUFV2,4,1,4,0,0,0,0,63
ETFDH,43,11,1,1,0,0,0,94
BBS12,6,1,0,0,0,0,0,12
NDUFAF3,2,2,1,0,0,0,0,41
MCM3AP,17,5,4,3,0,0,0,343
IL2RA,1,1,1,0,0,0,0,32
TBC1D24,25,7,1,0,0,0,0,82
SCO1,4,2,4,0,0,0,0,51
AK2,6,5,2,0,0,0,0,34
SNUPN,0,0,0,0,0,0,0,64
FRRS1L,10,1,0,0,0,0,0,48
TMPRSS6,14,2,16,0,2,0,0,154
SEC23B,27,8,0,1,0,0,0,132
MLC1,19,9,3,0,0,0,0,58
BTD,13,4,1,0,0,0,0,31
COQ9,10,1,1,0,0,0,0,56
TPP1,36,7,2,0,0,0,0,65
DNAH6,0,0,5,2,0,0,0,698
PEX16,6,5,0,0,0,0,0,55
CEP104,16,13,1,2,0,0,0,155
PSAP,9,4,0,0,0,0,0,45
TCTN3,18,9,7,0,0,0,0,112
CNTN2,7,4,2,0,0,0,0,99
NDUFA2,1,0,2,0,0,0,0,21
ACSF3,47,17,0,2,0,0,0,96
AGRN,12,8,5,3,0,0,0,254
ZBTB24,10,4,0,0,0,0,0,64
SFXN4,8,2,1,0,0,0,0,85
MCEE,1,2,2,0,0,0,0,21
PEX12,42,10,1,3,0,0,0,34
DRC4,0,0,0,0,0,0,0,0
CYP11B2,26,6,0,0,0,0,0,68
TRNT1,34,1,3,0,0,0,0,102
EXOC6B,0,5,2,0,0,0,0,83
PEX3,8,3,1,0,0,0,0,56
NBN,87,40,4,0,0,0,0,61
ODAD4,3,1,0,1,0,0,0,93
CLPP,1,1,0,0,0,0,0,39
CSF2RA,0,0,0,0,0,0,0,0
TCN2,20,3,1,1,0,0,0,80
PEX11B,5,7,1,0,0,0,0,33
COX20,0,2,0,0,1,0,0,43
APC2,0,0,2,0,0,0,0,82
DARS2,20,8,1,0,0,0,0,108
XPC,55,12,0,1,0,0,0,107
DCAF17,12,6,0,0,0,0,0,87
BCKDHA,30,8,1,2,0,0,0,44
SBF2,20,8,6,0,0,0,0,199
B4GALT7,3,1,7,1,0,0,0,71
PDE6A,43,9,5,0,0,0,0,107
G6PC1,17,5,0,0,0,0,0,25
ALDH4A1,3,6,4,2,0,0,0,129
USH1C,37,23,17,2,0,0,0,123
DBT,29,8,0,0,0,0,0,64
FERMT3,4,2,2,0,0,0,0,63
SDHAF1,0,0,0,0,0,0,0,0
SLC1A4,5,3,1,0,0,0,0,66
TFR2,35,14,2,2,0,0,0,109
SCARB2,13,1,3,0,0,0,1,50
GYS2,13,9,1,0,0,0,0,150
KLHL40,8,9,3,0,0,0,0,88
ANTXR2,5,4,1,0,0,0,0,94
MAN1B1,14,5,1,1,0,0,0,136
COX15,11,6,2,0,0,0,0,75
LPIN1,17,3,6,0,0,0,0,161
KCNJ13,3,0,3,1,0,0,0,19
AIMP1,7,2,2,0,0,0,0,53
RAB28,3,1,0,0,0,0,0,50
F13A1,13,2,0,1,0,0,0,89
FANCE,22,11,3,0,0,0,0,68
SBDS,13,5,0,0,0,0,0,42
PIGT,14,1,1,1,1,0,0,113
ABCA3,16,3,4,3,0,0,0,177
PLA2G6,35,10,2,0,0,0,0,104
TELO2,7,3,3,2,0,0,0,161
TTC7A,26,7,3,3,0,0,1,184
RDH5,17,1,0,0,0,0,0,36
IL21R,0,0,0,0,0,0,0,32
SCO2,0,0,0,0,0,0,0,0
SFTPB,4,2,0,0,0,0,0,63
MKS1,46,20,1,1,0,0,0,70
COG7,4,3,2,0,0,0,0,90
PLCB1,2,2,2,2,0,0,0,92
GMPPA,7,3,2,0,0,0,0,80
REEP6,5,2,1,0,0,0,0,28
C1QA,1,0,1,0,0,0,0,9
ALG2,1,1,9,1,0,0,0,69
CYP1B1,23,7,0,1,0,0,1,57
PPT1,22,8,1,1,0,0,0,29
CP,25,2,4,1,0,0,0,154
MRPS22,12,1,3,0,0,0,0,78
F7,9,4,2,0,0,0,0,59
EIF3F,0,0,0,0,0,0,0,18
EPG5,49,9,4,2,0,0,0,294
CEP152,51,15,4,0,0,0,0,199
ISCA2,2,1,1,0,0,0,0,42
GNS,14,4,3,1,0,0,0,92
DNAJC12,10,0,0,0,0,0,0,40
ACADS,12,13,4,0,0,0,0,52
GDAP2,4,2,0,0,0,0,0,114
DNMT3B,5,0,0,1,0,0,0,79
PIGO,29,6,7,0,0,0,0,141
PCDH15,67,34,22,1,0,0,0,227
MAN2B1,61,25,4,2,0,0,0,115
MTR,26,17,3,2,0,0,0,173
ADGRV1,148,40,9,3,1,0,0,712
TRAPPC6B,5,3,0,0,0,0,0,41
MTFMT,11,4,1,0,0,0,0,89
ODAD3,8,10,2,0,0,0,0,88
CHRNG,24,14,2,1,0,0,0,117
SGCD,8,3,4,0,0,0,0,29
SLC25A15,17,6,0,0,0,0,0,32
GPAA1,10,9,4,1,0,0,0,95
FUCA1,18,3,0,0,0,0,0,71
DHDDS,2,2,5,0,0,0,0,20
PEX6,43,18,3,1,0,0,0,121
CCNO,19,1,1,0,0,0,0,63
LRP5,21,4,3,0,0,0,0,145
FKTN,33,7,1,0,0,0,0,66
PIGS,2,3,1,0,0,0,0,84
ABCG5,23,9,3,5,0,0,0,99
SKIC3,0,0,0,0,0,0,0,0
SERPINE1,0,0,0,0,0,0,1,53
GALC,62,18,0,2,0,0,0,87
VIPAS39,9,2,2,0,0,0,0,78
SLC2A10,7,6,0,1,0,0,1,59
ETFA,18,8,0,0,0,0,0,47
HSD11B2,1,1,0,0,0,0,0,48
POGLUT1,7,3,1,0,0,0,0,73
IQCB1,32,12,0,0,0,0,0,83
FAT4,6,1,5,1,0,0,0,222
KLKB1,6,0,0,0,0,0,0,134
YIF1B,3,0,0,0,0,0,0,62
DNAH5,235,42,2,7,0,0,1,524
BBS2,50,21,3,1,0,0,0,82
HINT1,5,0,1,0,0,0,0,21
SGPL1,9,2,0,0,0,0,0,80
ARMC9,9,13,5,0,0,0,0,172
HIBCH,10,7,1,0,0,0,0,86
CDAN1,11,6,2,0,0,0,0,305
MTRFR,7,2,0,0,0,0,0,26
SLC52A3,7,1,1,0,0,0,0,44
SLC7A9,14,9,2,0,0,0,0,87
NAGLU,31,9,1,0,0,0,0,54
ACADM,56,12,1,2,0,0,1,50
DPH1,5,2,1,0,0,0,0,117
ALG6,27,10,3,0,0,0,0,66
CNGB1,51,27,7,0,0,0,0,162
SPG11,171,26,13,2,0,0,3,363
FOXE1,0,0,0,0,0,0,0,6
PPA2,0,2,10,0,0,0,0,78
SZT2,54,18,5,4,0,0,0,410
CD79A,0,3,0,1,0,0,0,34
ACADVL,56,48,4,0,0,0,1,97
IVD,30,3,1,0,0,0,0,49
FMO3,21,9,1,0,0,0,0,68
WIPF1,0,0,1,0,0,0,0,38
ERCC2,52,21,8,3,0,0,1,154
CWF19L1,4,9,1,0,0,0,0,108
HADH,6,2,0,0,0,0,0,43
SPEG,5,3,2,2,0,0,0,320
PRKN,13,3,2,0,0,0,0,99
KCNJ16,2,2,0,0,0,0,0,44
MTMR2,16,8,5,0,0,0,0,201
BCKDHB,39,10,0,0,0,0,0,51
SPR,12,1,1,0,0,0,0,27
TMEM126A,3,0,5,0,0,0,0,37
NPHP3,46,12,3,0,0,0,0,209
RNU4ATAC,0,0,0,0,0,0,0,0
ASNS,27,6,0,0,0,0,0,62
STRC,35,6,3,0,0,0,0,228
GTPBP3,10,4,2,0,0,0,0,93
SPTBN4,3,0,0,0,0,0,0,212
IFNAR1,9,5,4,0,0,0,0,106
FUT8,2,2,2,0,0,0,0,59
HIKESHI,0,0,0,1,0,0,0,28
ASAH1,17,9,4,0,0,0,0,85
GAN,9,2,10,0,0,0,0,88
HJV,17,1,1,0,0,0,0,29
CFAP54,0,0,0,0,0,0,0,663
POMGNT1,41,27,2,1,0,0,0,80
EIF2B4,5,2,1,0,0,0,0,67
AGL,139,25,4,0,0,0,0,163
IL7R,25,2,1,2,0,0,0,62
HPD,10,4,2,0,0,0,0,58
PSAT1,8,3,2,1,0,0,0,58
MSH6,205,7,33,3,0,0,0,99
SLC25A1,5,1,0,0,0,0,0,63
ERCC6,76,25,3,0,0,0,0,150
RSPH3,6,0,0,0,0,0,0,75
ATP8A2,10,7,3,0,0,0,0,173
PTPRQ,10,10,3,0,2,0,0,408
NMNAT1,5,1,0,0,0,0,0,15
TTC12,3,0,0,1,0,0,0,133
PCBD1,5,4,0,0,0,0,0,22
HMOX1,4,2,0,0,0,0,0,39
TMEM67,55,19,4,0,0,0,0,199
TMIE,6,0,2,0,0,0,0,44
NDUFS8,0,0,0,0,0,0,0,40
HPS4,15,8,0,0,0,0,0,87
PYGM,50,17,0,0,0,0,0,111
NBEAL2,9,9,3,0,1,0,0,347
CD40,3,1,1,0,0,0,0,36
PDE6C,24,11,0,0,0,0,0,124
EML1,2,1,1,1,0,0,0,62
CARMIL2,13,7,3,1,0,0,0,234
ARG1,22,6,1,1,0,0,0,35
MMAB,12,7,0,0,0,0,0,32
LINS1,3,6,1,0,0,0,0,82
ABHD5,13,2,1,0,0,0,0,55
GALNT3,19,7,3,0,0,0,0,84
DOLK,2,5,6,1,0,0,0,51
DEGS1,3,4,0,0,0,0,0,37
DTNBP1,4,4,0,0,0,0,0,81
ACAD9,21,24,0,0,0,0,0,79
RPGRIP1L,83,30,1,1,0,0,0,204
MAPKBP1,3,2,0,0,0,0,0,162
TFRC,2,0,1,2,0,0,0,78
DNAH9,46,31,4,3,1,0,0,706
CSF2RB,0,1,0,1,0,0,0,51
RAB27A,12,1,1,0,0,0,0,26
PDHX,9,3,1,0,0,0,0,80
GBE1,37,18,2,0,0,0,0,101
COG6,8,6,4,0,0,0,0,160
CBS,9,1,0,0,0,0,0,21
ACAD8,7,4,2,1,0,0,0,82
MEGF10,8,11,1,1,0,0,0,148
NUP93,1,3,0,0,1,0,0,105
GRM6,31,6,4,3,1,0,1,138
FANCD2,57,36,3,0,1,0,0,243
HFE,14,5,0,1,0,0,0,41
AKR1D1,3,8,0,0,0,0,0,62
DNAL1,3,0,2,0,0,0,0,48
CERKL,45,16,6,0,0,0,0,90
MSH3,124,28,9,2,0,0,0,155
MYMK,0,0,1,0,1,0,0,34
FAT1,4,2,5,3,2,0,0,448
PNPLA6,25,13,5,0,0,0,0,216
PKHD1,184,69,8,1,0,0,0,394
FGF3,0,2,0,0,0,0,1,22
LMOD3,18,1,5,0,0,0,0,87
IBA57,7,4,2,1,0,0,0,54
GOSR2,11,4,3,0,0,0,0,35
NDUFS2,0,2,0,0,0,0,0,67
IGHMBP2,50,7,3,0,0,0,0,106
HSPG2,24,12,8,5,0,0,0,531
GLDC,78,17,1,0,0,0,0,157
MPI,20,10,4,0,0,0,0,62
ITPA,16,1,0,0,0,0,0,34
MPZL2,7,4,0,0,0,0,0,62
MERTK,41,5,0,0,0,0,0,125
POLR3A,44,10,1,0,0,0,0,179
CYB5R3,9,1,1,0,0,0,0,58
SLX4,39,16,6,0,0,0,0,214
BCS1L,34,11,0,1,0,0,0,43
AGBL5,10,5,8,0,0,0,0,150
LZTFL1,4,4,0,0,0,0,0,41
GM2A,1,2,0,0,0,0,0,15
TIMMDC1,1,1,1,0,0,0,0,51
CYP2U1,15,3,2,0,0,0,0,71
FXN,4,0,0,0,0,0,0,26
EIF2B1,11,6,0,0,0,0,0,53
DOCK7,18,5,3,3,0,0,0,246
ODAD1,12,4,1,0,0,0,0,87
ADA2,14,6,0,0,0,0,0,47
ITCH,2,1,1,1,0,0,0,72
DRC1,9,5,4,2,0,0,0,105
GJB2,49,1,1,0,0,0,0,38
SLC7A7,34,7,1,0,0,0,0,68
SNX10,6,2,2,0,0,0,0,42
WDR62,29,9,5,0,0,0,1,228
PEX7,25,12,2,0,0,0,0,52
FECH,21,2,0,1,0,0,0,54
FANCL,22,17,2,0,0,0,0,85
MCPH1,23,28,7,1,0,0,0,165
ECHS1,5,2,1,0,0,0,1,57
CPLANE1,71,37,8,2,0,0,0,328
SH3PXD2B,4,3,3,0,0,0,0,67
DHCR24,2,0,2,2,0,0,0,54
TACO1,3,4,0,0,0,0,0,37
SUMF1,25,9,0,1,0,0,0,55
CCN6,17,3,2,0,0,0,0,59
TXNL4A,2,1,0,0,0,0,0,32
RECQL4,132,29,8,3,0,0,2,187
CD79B,0,0,0,0,0,0,0,15
DST,15,8,5,0,0,0,0,604
GPSM2,14,4,4,0,0,0,1,143
TTC21B,41,19,8,2,0,0,1,212
CD320,0,0,2,0,0,0,0,48
TMEM231,11,1,1,2,0,0,0,61
TBCK,33,12,2,0,0,0,0,171
RFXANK,9,2,1,0,0,0,0,41
RXYLT1,18,4,4,1,0,0,0,94
PEPD,16,10,3,1,0,0,0,84
MRPL44,0,0,1,0,0,0,0,57
STK4,6,0,0,1,0,0,0,52
ARSA,37,6,0,0,0,0,0,36
GSS,9,3,3,0,0,0,0,63
BLOC1S5,0,1,1,0,0,0,0,50
MCCC1,42,11,0,0,0,0,0,81
RIPOR2,0,1,1,0,0,0,0,94
DNAAF1,28,2,4,0,1,0,0,113
SLC6A19,6,9,4,2,0,0,0,103
TRAF3IP1,17,8,3,3,0,0,0,115
NTHL1,35,5,3,0,0,0,0,26
EMG1,0,0,0,0,0,0,0,74
TUBGCP6,46,20,5,3,0,0,0,385
DNAI1,37,14,2,0,0,0,0,92
LRTOMT,5,1,2,0,0,0,0,50
OSTM1,7,0,2,0,0,0,0,46
MCIDAS,3,0,0,0,0,0,0,57
TTC19,8,4,5,1,0,0,0,86
MCFD2,2,1,0,0,0,0,0,26
PLCE1,15,6,7,0,0,0,0,241
ALS2,33,10,1,0,0,0,0,192
PMM2,36,8,2,2,0,0,0,28
SLC12A1,36,8,3,1,0,0,0,164
MTPAP,0,0,0,0,0,0,0,49
TMEM70,12,2,1,1,0,0,0,33
ITGA3,2,9,2,0,0,0,0,158
RAG2,14,7,0,0,0,0,0,56
LCK,0,1,0,1,0,0,0,36
CTSD,7,3,1,0,0,0,0,47
HPS3,65,20,0,0,0,0,0,118
FA2H,12,2,2,0,0,0,0,44
SPART,12,1,0,0,0,0,0,86
SUOX,28,4,1,0,0,0,0,75
MMUT,83,6,3,0,0,0,0,81
SLC25A13,50,19,0,0,0,0,1,74
LHFPL5,2,1,1,0,0,0,0,33
SMARCAL1,35,7,4,0,0,0,0,81
OTUD6B,11,1,2,0,0,0,0,71
SGCB,24,2,1,0,0,0,0,43
HEXA,55,7,0,0,0,0,0,56
NDUFAF2,8,4,1,0,0,0,0,28
SLC24A1,26,2,1,0,0,0,0,149
SLC17A5,35,15,3,1,0,0,0,56
MOCS1,19,4,3,0,0,0,0,71
MGME1,6,2,1,1,0,0,0,54
RD3,4,0,1,0,0,0,0,21
TTN,262,527,244,8,0,0,0,2549
RASGRP1,4,1,1,0,0,0,0,78
CFAP418,8,2,3,0,0,0,0,50
ABHD12,15,5,5,0,0,0,0,84
POMT1,47,16,3,2,0,0,0,131
DOCK6,28,18,2,2,1,0,0,370
CDK5RAP2,20,7,2,1,0,0,0,297
ISCU,0,0,3,1,0,0,0,42
ADSL,18,5,1,0,0,0,0,59
